episode,steps,reward,loss,epsilon,outcome,win_rate_50
107,62,-4.648,0.51471,0.855,out_of_bounds,0.0
108,131,-3.528,0.47288,0.853,out_of_bounds,0.0
109,49,-4.811,0.51854,0.852,out_of_bounds,0.0
110,16,-9.855,0.45772,0.851,loss,0.0
111,89,-3.584,0.51348,0.849,out_of_bounds,0.0
112,83,-4.738,0.60658,0.848,out_of_bounds,0.0
113,86,-4.642,0.44365,0.847,out_of_bounds,0.0
114,67,-4.647,0.48964,0.845,out_of_bounds,0.0
115,49,-5.021,0.36573,0.844,out_of_bounds,0.0
116,111,-3.78,0.52105,0.843,out_of_bounds,0.0
117,61,-4.671,0.50402,0.841,out_of_bounds,0.0
118,29,-4.646,0.59727,0.84,out_of_bounds,0.0
119,30,-4.943,0.39907,0.839,out_of_bounds,0.0
120,46,-4.648,0.41887,0.837,out_of_bounds,0.0
121,81,-5.72,0.53795,0.836,out_of_bounds,0.0
122,45,-4.967,0.57636,0.834,out_of_bounds,0.0
123,110,-3.29,0.56158,0.833,out_of_bounds,0.0
124,61,-5.256,0.54063,0.832,out_of_bounds,0.0
125,150,-4.148,0.52485,0.83,out_of_bounds,0.0
126,85,-4.504,0.48378,0.829,out_of_bounds,0.0
127,104,-4.283,0.46024,0.828,out_of_bounds,0.0
128,111,-3.588,0.47713,0.826,out_of_bounds,0.0
129,147,-3.824,0.46963,0.825,out_of_bounds,0.0
130,53,-4.706,0.55804,0.824,out_of_bounds,0.0
131,69,-4.905,0.49254,0.822,out_of_bounds,0.0
132,115,-3.852,0.49208,0.821,out_of_bounds,0.0
133,169,-5.027,0.50899,0.82,out_of_bounds,0.0
134,92,-4.8,0.42746,0.818,out_of_bounds,0.0
135,61,-4.546,0.341,0.817,out_of_bounds,0.0
136,21,10.2,0.6189,0.815,win,0.02
137,96,-3.622,0.38947,0.814,out_of_bounds,0.02
138,244,0.154,0.41119,0.813,out_of_bounds,0.02
139,55,-5.808,0.5226,0.811,out_of_bounds,0.02
140,59,-4.614,0.52165,0.81,out_of_bounds,0.02
141,77,-4.341,0.50214,0.809,out_of_bounds,0.02
142,107,-4.453,0.47458,0.807,out_of_bounds,0.02
143,67,-4.249,0.37486,0.806,out_of_bounds,0.02
144,100,-4.416,0.52554,0.805,out_of_bounds,0.02
145,267,-1.27,0.45557,0.803,out_of_bounds,0.02
146,45,-5.043,0.54898,0.802,out_of_bounds,0.02
147,47,-4.953,0.44288,0.8,out_of_bounds,0.02
148,49,-5.652,0.68698,0.799,out_of_bounds,0.02
149,107,-3.185,0.45883,0.798,out_of_bounds,0.02
150,131,-4.381,0.3985,0.796,out_of_bounds,0.02
151,111,-4.3,0.51731,0.795,out_of_bounds,0.02
152,36,-4.747,0.44903,0.794,out_of_bounds,0.02
153,48,-9.852,0.55925,0.792,loss,0.02
154,40,-5.224,0.41187,0.791,out_of_bounds,0.02
155,22,-5.204,0.35246,0.79,out_of_bounds,0.02
156,69,-4.416,0.37074,0.788,out_of_bounds,0.02
157,49,-5.256,0.37932,0.787,out_of_bounds,0.02
158,65,-5.375,0.48478,0.786,out_of_bounds,0.02
159,34,-4.973,0.5837,0.784,out_of_bounds,0.02
160,22,-5.059,0.54656,0.783,out_of_bounds,0.02
161,60,-5.188,0.46875,0.781,out_of_bounds,0.02
162,16,-9.939,0.17067,0.78,loss,0.02
163,151,-3.305,0.43897,0.779,out_of_bounds,0.02
164,58,-4.407,0.38519,0.777,out_of_bounds,0.02
165,48,-5.309,0.64622,0.776,out_of_bounds,0.02
166,64,-4.3,0.52478,0.775,out_of_bounds,0.02
167,69,-4.789,0.40163,0.773,out_of_bounds,0.02
168,45,-5.466,0.42927,0.772,out_of_bounds,0.02
169,61,-4.59,0.45572,0.771,out_of_bounds,0.02
170,104,-4.681,0.4808,0.769,out_of_bounds,0.02
171,68,-4.917,0.51555,0.768,out_of_bounds,0.02
172,47,-5.096,0.43092,0.767,out_of_bounds,0.02
173,139,-3.672,0.46826,0.765,out_of_bounds,0.02
174,29,-5.226,0.55035,0.764,out_of_bounds,0.02
175,127,-3.614,0.36063,0.762,out_of_bounds,0.02
176,18,-5.116,0.43659,0.761,out_of_bounds,0.02
177,46,-5.391,0.52262,0.76,out_of_bounds,0.02
178,146,-4.338,0.4178,0.758,out_of_bounds,0.02
179,126,-3.898,0.4413,0.757,out_of_bounds,0.02
180,86,-4.339,0.4474,0.756,out_of_bounds,0.02
181,96,-5.299,0.39255,0.754,out_of_bounds,0.02
182,41,-4.736,0.44482,0.753,out_of_bounds,0.02
183,66,-4.548,0.37973,0.752,out_of_bounds,0.02
184,79,-5.058,0.38162,0.75,out_of_bounds,0.02
185,62,-4.231,0.46364,0.749,out_of_bounds,0.02
186,23,-4.904,0.43227,0.748,out_of_bounds,0.0
187,28,-5.141,0.48607,0.746,out_of_bounds,0.0
188,69,-4.211,0.4728,0.745,out_of_bounds,0.0
189,49,-4.53,0.5288,0.744,out_of_bounds,0.0
190,54,-4.507,0.46625,0.742,out_of_bounds,0.0
191,105,-4.666,0.48973,0.741,out_of_bounds,0.0
192,74,-5.379,0.46966,0.739,out_of_bounds,0.0
193,129,-4.2,0.37896,0.738,out_of_bounds,0.0
194,44,-5.334,0.37515,0.737,out_of_bounds,0.0
195,55,-4.727,0.30559,0.735,out_of_bounds,0.0
196,30,-4.847,0.47953,0.734,out_of_bounds,0.0
197,167,-2.789,0.39151,0.733,out_of_bounds,0.0
198,45,-4.806,0.30952,0.731,out_of_bounds,0.0
199,200,-3.865,0.37496,0.73,out_of_bounds,0.0
200,101,-4.228,0.40743,0.729,out_of_bounds,0.0
201,93,-3.772,0.38162,0.727,out_of_bounds,0.0
202,40,-5.128,0.47454,0.726,out_of_bounds,0.0
203,49,-5.151,0.45253,0.725,out_of_bounds,0.0
204,91,-4.256,0.35296,0.723,out_of_bounds,0.0
205,128,-3.026,0.4258,0.722,out_of_bounds,0.0
206,130,-4.183,0.3496,0.72,out_of_bounds,0.0
207,45,-5.272,0.45256,0.719,out_of_bounds,0.0
208,55,-6.023,0.31405,0.718,out_of_bounds,0.0
209,209,-0.774,0.36845,0.716,out_of_bounds,0.0
210,264,-0.076,0.42126,0.715,out_of_bounds,0.0
211,153,-3.746,0.37006,0.714,out_of_bounds,0.0
